date,region,state_name,gen_actual,gen_programmed,capacity,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy,total_gen_with_re,Month,Year
2020-01-02,Northern,Jammu And Kashmir,22.36,16.4,3624.0,0.0,0.0,0.0,0.0,22.36,1,2020
2020-01-02,Northern,Punjab,57.93,81.87,6776.3,0.0,2.72,1.05,3.7700000000000005,61.7,1,2020
2020-01-02,Northern,Rajasthan,170.65,173.02,11774.13,23.05,10.31,4.8,38.16,208.81,1,2020
2020-01-02,Northern,Uttar Pradesh,332.12,364.81,24843.74,0.0,2.69,21.6,24.290000000000003,356.41,1,2020
2020-01-02,Northern,Uttarakhand,31.89,25.81,4206.35,0.0,0.37,0.88,1.25,33.14,1,2020
2020-01-02,Southern,Andhra Pradesh,176.3,202.33,18117.2,6.12,9.85,0.0,15.969999999999999,192.27,1,2020
2020-01-02,Southern,Karnataka,142.0,140.35,14029.4,9.76,36.23,12.61,58.599999999999994,200.6,1,2020
2020-01-02,Southern,Kerala,16.66,12.25,2550.04,0.19,0.19,0.0,0.38,17.04,1,2020
2020-01-02,Southern,Puducherry,0.6,0.61,32.5,0.0,0.0,0.0,0.0,0.6,1,2020
2020-01-02,Southern,Tamil Nadu,218.28,262.09,19007.08,7.25,12.59,0.0,19.84,238.12,1,2020
2020-01-02,Southern,Telangana,125.85,141.56,9588.1,0.7,12.51,0.0,13.209999999999999,139.06,1,2020
2020-01-02,Western,Chhatisgarh,367.29,291.75,23248.0,7.3,8.5,0.0,15.8,367.29,1,2020
2020-01-02,Western,Goa,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1,2020
2020-01-02,Western,Gujarat,286.75,312.38,26213.41,33.2,7.2,0.5,40.900000000000006,327.65,1,2020
2020-01-02,Western,Madhya Pradesh,358.51,353.43,22725.0,3.7,1.8,1.0,6.5,365.01,1,2020
2020-01-02,Western,Maharashtra,352.9,411.6,33040.08,7.4,4.6,0.0,12.0,364.9,1,2020
2020-01-03,Eastern,Andaman And Nicobar Islands,0.36,0.39,40.05,0.0,0.0,0.0,0.0,0.36,1,2020
2020-01-03,Eastern,Bihar,87.97999999999999,93.38,6390.0,0.0,0.0,0.35,0.35,88.32999999999998,1,2020
2020-01-03,Eastern,Jharkhand,69.3,80.04,4800.0,0.0,0.0,0.0,0.0,69.3,1,2020
2020-01-03,Eastern,Odisha,142.17,126.09,11942.25,0.0,0.0,0.73,0.73,142.89999999999998,1,2020
2020-01-03,Eastern,Sikkim,9.7,9.96,2169.0,0.0,0.0,0.0,0.0,9.7,1,2020
2020-01-03,Eastern,West Bengal,188.17,198.05,15696.2,0.0,0.0,0.0,0.0,188.17,1,2020
2020-01-03,North Eastern,Arunachal Pradesh,1.84,5.3,515.0,0.0,0.0,0.0,0.0,1.84,1,2020
2020-01-03,North Eastern,Assam,22.0,18.96,1719.21,0.0,0.0,0.0,0.0,22.0,1,2020
2020-01-03,North Eastern,Manipur,0.52,1.35,141.0,0.0,0.0,0.0,0.0,0.52,1,2020
2020-01-03,North Eastern,Meghalaya,2.23,2.03,322.0,0.0,0.0,0.0,0.0,2.23,1,2020
2020-01-03,North Eastern,Mizoram,0.46,0.32,60.0,0.0,0.0,0.0,0.0,0.46,1,2020
2020-01-03,North Eastern,Nagaland,0.32,0.13,75.0,0.0,0.0,0.0,0.0,0.32,1,2020
2020-01-03,North Eastern,Tripura,15.84,17.71,1132.1,0.0,0.0,0.0,0.0,15.84,1,2020
2020-01-03,Northern,Delhi,11.04,17.03,2208.4,0.0,0.0,0.0,0.0,11.04,1,2020
2020-01-03,Northern,Haryana,61.260000000000005,74.8,5971.59,0.0,0.11,0.87,0.98,62.24,1,2020
2020-01-03,Northern,Himachal Pradesh,45.22,39.97,9809.02,0.0,0.0,3.24,3.24,48.46,1,2020
2020-01-03,Northern,Jammu And Kashmir,21.65,16.4,3624.0,0.0,0.0,0.0,0.0,21.65,1,2020
2020-01-03,Northern,Punjab,64.91,81.87,6776.3,0.0,2.68,1.05,3.7300000000000004,68.64,1,2020
2020-01-03,Northern,Rajasthan,173.58,173.02,11774.13,11.41,12.97,4.82,29.200000000000003,202.78,1,2020
2020-01-03,Northern,Uttar Pradesh,329.18,365.14,24843.74,0.0,2.72,21.6,24.32,353.5,1,2020
2020-01-03,Northern,Uttarakhand,32.18,25.81,4206.35,0.0,0.58,0.89,1.47,33.65,1,2020
2020-01-03,Southern,Andhra Pradesh,185.1,202.33,18117.2,3.77,10.33,0.0,14.1,199.2,1,2020
2020-01-03,Southern,Karnataka,145.58,140.35,14029.4,7.03,38.4,13.84,59.269999999999996,204.85,1,2020
2020-01-03,Southern,Kerala,17.4,12.25,2550.04,0.15,0.22,0.0,0.37,17.77,1,2020
2020-01-03,Southern,Puducherry,0.6,0.61,32.5,0.0,0.0,0.0,0.0,0.6,1,2020
2020-01-03,Southern,Tamil Nadu,227.43,262.09,19007.08,6.8,13.42,0.0,20.22,247.65,1,2020
2020-01-03,Southern,Telangana,123.0,141.56,9588.1,0.49,10.45,0.0,10.94,133.94,1,2020
2020-01-03,Western,Chhatisgarh,362.08,291.75,23248.0,7.3,8.5,0.0,15.8,362.08,1,2020
2020-01-03,Western,Goa,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1,2020
2020-01-03,Western,Gujarat,296.87,312.38,26213.41,25.3,8.2,0.5,34.0,330.87,1,2020
2020-01-03,Western,Madhya Pradesh,360.89,353.43,22725.0,1.4,4.4,1.0,6.800000000000001,367.69,1,2020
2020-01-03,Western,Maharashtra,341.8,411.6,33040.08,7.8,4.5,0.0,12.3,354.1,1,2020
2020-01-04,Eastern,Andaman And Nicobar Islands,0.36,0.39,40.05,0.0,0.0,0.0,0.0,0.36,1,2020
2020-01-04,Eastern,Bihar,89.89,93.38,6390.0,0.0,0.0,0.2,0.2,90.09,1,2020
2020-01-04,Eastern,Jharkhand,68.02,80.04,4800.0,0.0,0.0,0.0,0.0,68.02,1,2020
2020-01-04,Eastern,Odisha,140.15,126.09,11942.25,0.0,0.0,0.93,0.93,141.08,1,2020
2020-01-04,Eastern,Sikkim,10.14,9.96,2169.0,0.0,0.0,0.0,0.0,10.14,1,2020
2020-01-04,Eastern,West Bengal,190.86,198.05,15696.2,0.0,0.0,0.0,0.0,190.86,1,2020
2020-01-04,North Eastern,Arunachal Pradesh,2.1100000000000003,5.3,515.0,0.0,0.0,0.0,0.0,2.1100000000000003,1,2020
2020-01-04,North Eastern,Assam,23.08,18.96,1719.21,0.0,0.0,0.0,0.0,23.08,1,2020
2020-01-04,North Eastern,Manipur,0.53,1.35,141.0,0.0,0.0,0.0,0.0,0.53,1,2020
2020-01-04,North Eastern,Meghalaya,2.1500000000000004,2.03,322.0,0.0,0.0,0.0,0.0,2.1500000000000004,1,2020
2020-01-04,North Eastern,Mizoram,0.58,0.32,60.0,0.0,0.0,0.0,0.0,0.58,1,2020
2020-01-04,North Eastern,Nagaland,0.33,0.13,75.0,0.0,0.0,0.0,0.0,0.33,1,2020
2020-01-04,North Eastern,Tripura,15.55,17.71,1132.1,0.0,0.0,0.0,0.0,15.55,1,2020
2020-01-04,Northern,Delhi,11.05,17.03,2208.4,0.0,0.0,0.45,0.45,11.5,1,2020
2020-01-04,Northern,Haryana,59.7,74.8,5971.59,0.0,0.07,0.81,0.8800000000000001,60.580000000000005,1,2020
2020-01-04,Northern,Himachal Pradesh,46.9,39.97,9809.02,0.0,0.0,2.94,2.94,49.84,1,2020
2020-01-04,Northern,Jammu And Kashmir,21.63,16.4,3624.0,0.0,0.0,0.0,0.0,21.63,1,2020
2020-01-04,Northern,Punjab,63.82,81.87,6776.3,0.0,2.25,1.05,3.3,67.12,1,2020
2020-01-04,Northern,Rajasthan,174.18,173.02,11774.13,2.9,13.46,4.86,21.22,195.4,1,2020
2020-01-04,Northern,Uttar Pradesh,346.83,365.14,24843.74,0.0,2.14,21.6,23.740000000000002,370.57,1,2020
2020-01-04,Northern,Uttarakhand,30.19,25.81,4206.35,0.0,0.47,0.86,1.33,31.52,1,2020
2020-01-04,Southern,Andhra Pradesh,177.74,202.33,18117.2,2.39,8.57,0.0,10.96,188.7,1,2020
2020-01-04,Southern,Karnataka,145.37,143.67000000000002,14029.4,7.29,40.68,14.73,62.7,208.07,1,2020
2020-01-04,Southern,Kerala,15.27,12.25,2550.04,0.04,0.23,0.0,0.27,15.54,1,2020
2020-01-04,Southern,Puducherry,0.6,0.61,32.5,0.0,0.0,0.0,0.0,0.6,1,2020
2020-01-04,Southern,Tamil Nadu,233.55,262.09,19007.08,2.58,13.73,0.0,16.310000000000002,249.86,1,2020
2020-01-04,Southern,Telangana,122.94,141.56,9588.1,0.49,11.9,0.0,12.39,135.32999999999998,1,2020
